Run,Build,Trafo,Gen,Verify,Total
1,0.04,0.01,0.01,1.13,1.18
2,0.04,0.01,0.01,1.26,1.32
3,0.04,0.01,0.01,1.28,1.34
4,0.05,0.01,0.01,1.24,1.30
5,0.04,0.01,0.01,1.29,1.35
6,0.05,0.01,0.01,1.21,1.28
7,0.04,0.01,0.01,1.26,1.33
8,0.04,0.01,0.01,1.22,1.28
9,0.04,0.01,0.01,1.25,1.31
10,0.05,0.01,0.01,1.21,1.28
11,0.05,0.01,0.01,1.27,1.34
12,0.04,0.01,0.01,1.23,1.30
13,0.04,0.01,0.01,1.23,1.29
14,0.05,0.01,0.01,1.26,1.32
15,0.04,0.01,0.01,1.25,1.32
16,0.04,0.01,0.01,1.25,1.31
17,0.05,0.01,0.01,1.22,1.29
18,0.04,0.01,0.01,1.31,1.37
19,0.05,0.01,0.01,1.27,1.33
20,0.04,0.01,0.01,1.27,1.33
21,0.05,0.01,0.01,1.22,1.30
22,0.04,0.01,0.01,1.28,1.35
23,0.04,0.01,0.01,1.23,1.30
24,0.04,0.01,0.01,1.25,1.31
25,0.05,0.01,0.01,1.22,1.29
26,0.05,0.01,0.01,1.26,1.33
27,0.05,0.01,0.01,1.24,1.31
28,0.04,0.01,0.01,1.28,1.34
29,0.05,0.01,0.01,1.27,1.33
30,0.04,0.01,0.01,1.23,1.30
31,0.04,0.01,0.01,1.23,1.29
32,0.05,0.01,0.01,1.19,1.26
33,0.04,0.01,0.01,1.30,1.36
34,0.05,0.01,0.01,1.27,1.34
35,0.04,0.01,0.01,1.32,1.39
36,0.05,0.01,0.01,1.25,1.32
37,0.05,0.01,0.01,1.30,1.37
38,0.04,0.01,0.01,1.19,1.25
39,0.04,0.01,0.01,1.36,1.42
40,0.05,0.01,0.01,1.25,1.32
41,0.05,0.01,0.01,1.26,1.33
42,0.05,0.01,0.01,1.26,1.33
43,0.04,0.01,0.01,1.25,1.31
44,0.04,0.01,0.01,1.26,1.32
45,0.05,0.01,0.01,1.27,1.34
46,0.05,0.01,0.01,1.25,1.32
47,0.05,0.01,0.01,1.23,1.30
48,0.05,0.01,0.01,1.27,1.33
49,0.04,0.01,0.01,1.26,1.33
50,0.05,0.01,0.01,1.30,1.36
51,0.04,0.01,0.01,1.28,1.34
52,0.05,0.01,0.01,1.28,1.35
53,0.04,0.01,0.01,1.22,1.27
54,0.04,0.01,0.01,1.28,1.34
55,0.05,0.01,0.01,1.24,1.31
56,0.05,0.01,0.01,1.27,1.34
57,0.05,0.01,0.01,1.33,1.40
58,0.05,0.01,0.01,1.28,1.36
59,0.04,0.01,0.01,1.32,1.39
60,0.04,0.01,0.01,1.27,1.34
61,0.04,0.01,0.01,1.26,1.32
62,0.04,0.01,0.01,1.26,1.32
63,0.06,0.01,0.01,1.32,1.40
64,0.05,0.01,0.01,1.28,1.34
65,0.04,0.01,0.01,1.26,1.33
66,0.05,0.01,0.01,1.31,1.38
67,0.04,0.01,0.01,1.29,1.36
68,0.04,0.01,0.01,1.32,1.38
69,0.04,0.01,0.01,1.29,1.35
70,0.04,0.01,0.01,1.29,1.36
71,0.05,0.01,0.01,1.26,1.33
72,0.05,0.01,0.01,1.29,1.36
73,0.04,0.01,0.01,1.27,1.33
74,0.05,0.01,0.01,1.36,1.43
75,0.05,0.01,0.01,1.26,1.33
76,0.05,0.01,0.01,1.26,1.33
77,0.04,0.01,0.01,1.30,1.36
78,0.05,0.01,0.01,1.32,1.38
79,0.05,0.01,0.01,1.37,1.44
80,0.05,0.01,0.01,1.32,1.39
81,0.05,0.01,0.01,1.30,1.37
82,0.04,0.01,0.01,1.27,1.33
83,0.05,0.01,0.01,1.32,1.39
84,0.04,0.01,0.01,1.26,1.32
85,0.05,0.01,0.01,1.30,1.36
86,0.04,0.01,0.01,1.21,1.28
87,0.04,0.01,0.01,1.29,1.36
88,0.05,0.01,0.01,1.30,1.36
89,0.05,0.01,0.01,1.27,1.34
90,0.05,0.01,0.01,1.24,1.31
91,0.04,0.01,0.01,1.31,1.37
92,0.04,0.01,0.01,1.31,1.38
93,0.05,0.01,0.01,1.38,1.45
94,0.05,0.01,0.01,1.26,1.34
95,0.05,0.01,0.01,1.31,1.37
96,0.05,0.01,0.01,1.33,1.40
97,0.05,0.01,0.01,1.32,1.39
98,0.05,0.01,0.01,1.29,1.36
99,0.05,0.01,0.01,1.29,1.36
100,0.05,0.01,0.01,1.28,1.35
